HolidaysName,Normalized,Encoded
Gawai Dayak,5,23
Gawai Dayak Holiday,6,24
No holidays,3,47
The Yang di-Pertuan Agong's Birthday,7,60
First Day of Ramadan,8,21
June Solstice,4,36
Nuzul Al-Quran,7,48
Hari Raya Puasa,9,29
"Hari Raya Puasa Day 2, George Town World Heritage City Day",8,31
Penang Governor's Birthday,4,52
Sarawak Independence Day,5,54
Janmashtami,3,35
Malaysia's National Day,8,41
Ganesh Chaturthi,3,22
Hari Raya Haji,8,27
"Hari Raya Haji (Day 2), Hari Raya Haji holiday",7,28
September Equinox,4,57
"Navaratri, Muharram/New Year",4,43
Birthday of the Governor of Sarawak,4,4
Dussehra,3,18
Birthday of the Governor of Malacca,4,3
Birthday of the Sultan of Pahang,4,9
Diwali/Deepavali,9,17
Birthday of the Sultan of Perak,4,10
Almarhum Sultan Iskandar Hol Day,3,0
Birthday of the Sultan of Kelantan,4,7
Birthday of the Sultan of Kelantan (Day 2),4,8
Birthday of the Sultan of Selangor,4,11
"The Prophet Muhammad's Birthday, Day off for Birthday of the Sultan of Selangor",7,59
December Solstice,5,15
Christmas Eve,9,14
Christmas Day,9,13
New Year's Eve,8,46
New Year's Day,9,44
New Year's Day observed,8,45
Birthday of Yang di-Pertuan Besar,4,2
Lunar New Year's Day,9,39
"Second Day of Lunar New Year, Lunar New Year Holiday",8,56
Lunar New Year Holiday,8,38
Federal Territory Day,5,20
Thaipusam,7,58
Valentine's Day,7,61
Maha Shivaratri,5,40
Anniversary of the Coronation of the Sultan of Terengganu,4,1
Holi,3,33
March Equinox,4,42
Birthday of the Sultan of Johor,4,6
Good Friday,8,26
Declaration of Malacca as Historical City,4,16
Easter Sunday,8,19
Isra and Mi'raj,5,34
Official Installation Ceremony of His Majesty the 15th Yang Di Pertuan Agong,4,49
Birthday of the Sultan of Terengganu,4,12
Labour Day,8,37
Pahang State Holiday,5,50
Pahang State Holiday observed,5,51
Wesak Day,8,62
Birthday of the Raja of Perlis,4,5
Harvest Festival,6,32
Second Day of Harvest Festival,6,55
Hari Raya Puasa Day 2,8,30
George Town World Heritage City Day,3,25
Raksha Bandhan,4,53
